OASIS SB Pool 6 Contract Numbers,POOL 6 OASIS Small Business (SB) Contractor Name and Address,POOL 6 Corporate OASIS SB Contract Manager (COCM),POOL 6 Corporate OASIS SB Program Manager (COPM),
,"Analytical Services and Materials, Inc.",  Dr. G. Balasubramanian, Dr. Jalaiah Unnam ,
GS00Q14OADS701,107 Research Drive, 757-865-7093 x 311, 757-865-7093 x 306,
,"Hampton, VA  23666", bala@asm-usa.com, junnam@asm-usa.com,
,"Applied Research Associates, Inc.", Marissa Otero,  Bryan Milligan,
GS00Q14OADS702,"4300 San Mateo Blvd., Suite A220", 505-881-8074, 505-883-3636,
,"Albuquerque, NM  87110",  ARA_OASIS_SB@ara.com, ARA_OASIS_SB@ara.com,
,"Avion Solutions, Inc.", Kim Taylor, Jeff Blackmon,
GS00Q14OADS703,"4905 Research Drive, NW", 256-327-7133, 256-327-7152,
,"Huntsville, AL  35805", kim.taylor@avioninc.com, jeff.blackmon@avioninc.com,
,"BTAS, Inc.", Jerry T. Copes, George S. Vlahos,
GS00Q14OADS704,"3572 Dayton-Xenia Road, Suite 210", 937-431-9431 x 23, 937-431-9431 x 13,
,"Beavercreek, OH  45432",BTASGSAOASIS@btas.com,BTASGSAOASIS@btas.com,
,COLSA Corporation, Charlotte Curry, Scott Gilson,
GS00Q14OADS705,6728 Odyssey Drive, 256-964-5237, 719-638-7921 x 102,
,"Huntsville, AL  35806", ccurry@colsa.com, sgilson@colsa.com,
,"Compass Systems, Inc.", Jack Duchesne, Frank Deaton,
GS00Q14OADS706,21471 Great Mills Road, 301-737-4640 x 335, 301-737-4640 x 305,
,"Lexington Park, MD  20653", jack.duchesne@compass-sys-inc.com, frank.deaton@compass-sys-inc.com,
,"CSSI, Inc.", Roberta (Robbie) Comer, Jim Powell,
GS00Q14OADS707,"400 Virginia Ave., SW, Suite 210", 202-863-3695, 202-747-2430,
,"Washington, DC  20024", contracts@cssiinc.com, OASIS@cssiinc.com,
,DCS Corporation, Thomas Sgroi, Lance Alsheimer,
GS00Q14OADS708,"6909 Metro Park Drive, Suite 500", 571-227-6138, 240-237-4824,
,"Alexandria, VA  22310", tsgroi@dcscorp.com, lalsheimer@dcscorp.com,
,Decisive Analytics Corporation, April Lesho, Shawn Shanley,
GS00Q14OADS709,"1400 Crystal Drive, Suite 1400", 703-414-5004, 703-682-0751,
,"Arlington, VA  22202",  april.lesho@dac.us, shawn.shanley@dac.us,
,"Dynetics, Inc.", Rosie Maul, Cindy Griner,
GS00Q14OADS710,1002 Explorer Blvd., 256-964-4567, 256-964-4259 ,
,"Huntsville, AL  35806", rosie.maul@dynetics.com, cindy.griner@dynetics.com,
,Fulcrum IT Services, Jim Janulis, Eric Vazquez,
GS00Q14OADS711,"5870 Trinity Parkway, Suite 400", 703-543-2911, 703-543-2930          ,
,"Centreville, VA  20120", jjanulis@fulcrumit.com,  evazquez@fulcrumit.com        ,
,"HX5, LLC", Todd Burkhardt, Charlie Minter,
GS00Q14OADS712,"212 Eglin Parkway, SE", 850-362-6551, 850-362-6551,
,"Fort Walton Beach, FL 32548", Todd.Burkhardt@hxfive.com,Charlie.Minter@hxfive.com,
,Innovative Technologies Corporation, Shawn Irish, Carl Canter,
