OASIS Pool 1 Contractor Name,OASIS Pool 1 Contract Number,DUNS Number,COCM Name,COCM Phone,COCM Email,COPM Name,COPM Phone,COPM Email
"Accenture Federal Services, LLC",GS00Q14OADU202,139727148,Tania Koles,571-414-4033,OASIS@accenturefederal.com,Sandi LaCroix,571-414-3350,OASIS@accenturefederal.com
Battelle Memorial Institute,GS00Q14OADU201,007901598,Lee Donelson,410-306-8554,OASIS@battelle.org,Satya P. Chauhan,614-424-4812,chauhan@battelle.org
"Booz Allen Hamilton, Inc.",GS00Q14OADU203,006928857,Steve Fredericks,703-377-4708,BAHOASISContract@bah.com,Matt See,703-377-5352,BAHOASISContract@bah.com
"Deloitte Consulting, LLP",GS00Q14OADU204,019121586,Nancy Dunn,703-251-1143,OASIS@deloitte.com,Jared Townshend,517-814-6874,OASIS@deloitte.com
Engility Corporation ,GS00Q14OADU205,069341972,Peter Gaaserud,703-984-6108,OASIS@engilitycorp.com,Steve Taylor,978-655-9713,OASIS@engilitycorp.com
ECS Federal Inc.,GS00Q14OADU206,806026852,Cathy S. Kilcoyne,703-270-1554,OASIS@ecs-federal.com,Thomas Johnson,703-270-1540 x 1145,OASIS@ecs-federal.com
"General Dynamics Information Technology, Inc.",GS00Q14OADU207,067641597,Janet L. Skahill,401-845-3658,Janet.Skahill@gdit.com,Michael McHugh,703-995-5373,GDITGSA@gdit.com
"Grant Thornton, LLP",GS00Q14OADU208,128159105,Regina Samuels,703-637-2835,GPSGSAOASIS@us.gt.com,Bethany Lee,703-637-2717,GPSGSAOASIS@us.gt.com
"ICF Incorporated, LLC",GS00Q14OADU209,072648579,Jeff Beckner,703-934-3147,ICF-OASIS@icfi.com ,Mark Youman,703-934-3658,ICF-OASIS@icfi.com 
International Business Machines Corporation dba IBM,GS00Q14OADU224,835130485,Candice N. Ong,720-395-3299,GSAOASIS@us.ibm.com,Tom Bertke,703-850-8032,GSAOASIS@us.ibm.com
"Kearney & Company, P.C.",GS00Q14OADU210,186576310,Mary Embrey,703-931-5600,OASIS-COCM@kearneyco.com,Dave Zorzi,703-931-5600,OASIS@kearneyco.com
"Leidos, Inc.",GS00Q14OADU211,054781240,Sandra L. Reid,202-386-1703,OASISCOCM@leidos.com,Joseph A. Pastel,571-526-7087,OASISCOPM@leidos.com
"Lockheed Martin Integrated Systems, LLC.",GS00Q14OADU212,780820002,Kathleen Van Dorn,303-932-5008,OASIS-PMO.GR-ISGS@lmco.com,Richard Buchanan,757-374-5875,OASIS-PMO.GR-ISGS@lmco.com
National Opinion Research Center dba NORC,GS00Q14OADU213,069512291,David Kaplan,312-357-3860,Kaplan-David@norc.org,Jeffrey Hackett,312-759-4266,Hackett-Jeffrey@norc.org
"Navigant Consulting, Inc.",GS00Q14OADU214,022582428,Jill Stevens,202-481-8337,OASIS@navigant.com,Jeff Moor,215-832-4422,OASIS@navigant.com
Northrop Grumman Systems Corporation,GS00Q14OADU215,078502520,Linda R. Bavely,703-713-4577,CONTRACTOASIS@ngc.com,Jana Haas,703-713-4938,Jana.Haas@ngc.com
PricewaterhouseCoopers Public Sector LLP,GS00Q14OADU216,079529872,Brett Surbey,703-918-6698,GSA_OASIS@us.pwc.com,Frank Durso,703-965-8278,GSA_OASIS@us.pwc.com
Research Triangle Institute dba RTI International,GS00Q14OADU217,004868105,Don K. Enichen,919-541-6634,OASIS-Pool2@rti.org,Jennifer E. Lilje,919-541-6545,OASIS-Pool2@rti.org
Science Applications International Corporation dba SAIC,GS00Q14OADU218,078883327,Sarah Getty,703-676-5335,Sarah.L.Getty@saic.com,Michelle Matthews,703-676-2013,Belinda.B.Pellegrino@saic.com
"Serco, Inc.",GS00Q14OADU219,928859149,Patrick Haar,719-235-4357,OASIS@Serco-NA.com,Darryl Mathis,703-939-6628,OASIS@Serco-NA.com
Teksouth Corporation,GS00Q14OADU220,102091550,Rhodes Davis,205-631-1500,COCM.OASIS@Teksouth.com,Joe Nizolak,703-915-3353,COPM.OASIS@Teksouth.com
TeraThink Corporation,GS00Q14OADU225,114921872,Rosemarie Floyd,703-663-2777,OASIS@terathink.com,Peter Menard,703-773-6232 x 1003,OASIS@terathink.com
The MIL Corporation,GS00Q14OADU221,161579735,Kelly Rinaldi,301-765-3009,contracts@milcorp.com,Jason Hannah,202-437-4054,jhannah@milcorp.com
Unisys Corporation,GS00Q14OADU222,150780674,Janice Rega,703-427-2504,OASIS@unisys.com,Erik TerHaar,703-439-5437,OASIS@unisys.com
"Westat, Inc.",GS00Q14OADU223,049508120,Rod Mohadjer,301-294-3941,OASISCOCM@westat.com,Payton Smith,301-294-2090,OASISCOPM@westat.com
