OASIS Pool 1 Contractor Name,OASIS Pool 1 Contract Number,DUNS Number,COCM Name,COCM Phone,COCM Email,COPM Name,COPM Phone,COPM Email,8(a),HUBZone,SDVOSB,WOSB
"Advanced Concepts and Technologies International, LLC dba ACT-I",GS00Q14OADS101,8050242,Shelly Bowan,703-418-0636,OASIS@act-i.com,Jeff Earley,513-374-7381,OASIS@act-i.com,,,,
"Advanced Systems Technology and Management, Inc. dba AdSTM",GS00Q14OADS102,49192649,Jen Kim,703-821-0678,OASIS@adstm.com,Gary Bell,240-538-8357,OASIS@adstm.com,,,,
"Amyx, Inc.",GS00Q14OADS103,136794802,Ros Kadasi,703-373-1984,rkadasi@amyx.com,Michael Kleeblatt,703-373-1163,OASISBD@amyx.com,,,,
"Analytic Strategies, LLC",GS00Q14OADS104,623876096,Tara Kainz,703-663-2039,gsa@planetrisk.com,Denis Clements,571-248-7747,gsa@planetrisk.com,,,,
"Apogee Engineering, LLC",GS00Q14OADS133,170203199,Denise Penn,719-418-4968,OASISPOOL1@apogeemail.net,Bobby P. Veazey,719-213-6199,OASISPOOL1@apogeemail.net,√,,,
"Arctic Slope Technical Services, Inc.",GS00Q14OADS105,968706106,Benjamin W. Saunders,571-266-2986,OASIS@asrcfederal.com,Jeffrey Chesko,571-262-3144,OASIS@asrcfederal.com,√,,,
"BB&E, Inc.",GS00Q14OADS144,117755293,Doug Barber,248-489-9636 x 301 ,OASISSB@bbande.com,Aaron Etnyre,248-489-9636 x 303,OASISSB@bbande.com,,,,
Bevilaqua Research Corporation,GS00Q14OADS107,806849303,Ken Scott,256-882-6229 x 106,BRC_OASIS@brc2.com,Andy Bevilaqua,256-882-6229 x 102,BRC_OASIS@brc2.com,,√,,
"BlueWater Federal Solutions, Inc.",GS00Q14OADS108,832403948,Jada Brink,703-621-4174,OASISSB@bwfed.com,Erich Mendez,703-621-7467,emendez@bwfed.com,,,,√
"Bowhead Logistics Solutions, LLC",GS00Q14OADS109,626979228,Lori K. Schendel,540-604-1650,OASIS-SB@bowheadsupport.com,R. Ken Trammell,865-556-9785,OASIS-SB@bowheadsupport.com,√,,,
"Cherokee Nation Technologies, LLC",GS00Q14OADS110,831891788,Pat Saint John,210-323-4113,OASIS-SB@cn-bus.com,Peter Harrell,703-403-4137,OASIS-SB@cn-bus.com,√,,,
"Chevo Consulting, LLC",GS00Q14OADS111,127222466,Zaina Sahady,301-309-0040 x 229,OASIS-Contracts@chevoconsulting.com,Phil Sahady,301-309-0040 x 230,OASIS-PM@chevoconsulting.com,,,,√
"Credence Management Solutions, LLC",GS00Q14OADS112,805875718,John Stapleford,757-561-4003,contracts@credence-llc.com,Leigh Boyle,757-303-5104,OASIS@credence-llc.com,√,,,
"Dakota Consulting, Inc.",GS00Q14OADS113,168926264,Lokesh Sayal,240-206-6602,OASIS-COCM@Dakota-Consulting.com,Rakesh Gopal,240-645-0286,OASIS-COPM@Dakota-Consulting.com,√,,,√
"Eagle Ray, Inc.",GS00Q14OADS114,111471350,Cheryl Cartwright,703-961-9637,OASISSB@eaglerayinc.com,Chris Kenly,703-961-9637,OASISSB@eaglerayinc.com,,,,√
"Ecompex, Inc.",GS00Q14OADS115,839665098,Hubin Jiang,703-288-3382 x 2205,OASIS@ecompex.com,Jesse Lake,703-288-3382 x 2214,OASIS@ecompex.com,,,,
"ELEIT Technology, Inc.",GS00Q14OADS116,160062311,Debra Phipps,256-882-9290,dphipps@eleit-tech.com,Michael Lindsey,256-882-9290,OASISSB@eleit-tech.com,,√,,√
"Fors Marsh Group, LLC",GS00Q14OADS117,129842667,"Patrick T. Samsel, Esq.",571-303-2895,OASISSB@forsmarshgroup.com,Ben Garthwaite,571-858-3799,OASISSB@forsmarshgroup.com,,,,
"Gemini Industries, Inc. dba GEMINI",GS00Q14OADS118,197503212,Sal Malgari,781-203-0100 x 104,OASIS@gemini-ind.com,Vincent Maconi,781-203-0100 x 204,OASIS@gemini-ind.com,,,,
"Ikun, LLC",GS00Q14OADS119,786997739,Sanjeev Hirani,703-766-6260,Sanjeev.Hirani@Akima.com,Joanne O'Leary,571-482-5347,GSA-OASIS@ikun.com,√,,,
"Infinity Technology, LLC",GS00Q14OADS120,198024809,Shkan Woodruff,571-765-4776,OASIS@itllc.com,LeRoy Burney,571-765-4721,OASIS@itllc.com,√,,√,
"Insight Technology Solutions, Inc.",GS00Q14OADS106,52311607,Mary Anderson,301-860-1121 x 110,OASISSB@insighttsi.com,Patrick Crovo,301-860-1121 x 106,OASISSB@insighttsi.com,,,,√
"Integral Consulting Services, Inc.",GS00Q14OADS145,18193669,John Kitchings,240-907-2585,OASIS@e2zintegral.com,Craig Goodman,240-907-2565,OASIS@e2zintegral.com,√,,,√
"International Business & Technical Consultants, Inc.",GS00Q14OADS121,611390592,Erfan Kabir,703-749-0100 x 244,ekabir@ibtci.com,Ajay S. Kalotra,703-749-0100 x 234,BD.OASIS@ibtci.com,,,√,√
"ITA International, LLC",GS00Q14OADS122,799582379,Michael Carlson,757-246-6781,mcarlson@ita-intl.com,Katelyn Melo,757-303-1500,ITA-OASIS@ita-intl.com,√,,√,
"KT Consulting, Inc.",GS00Q14OADS123,89072826,Kevin Terrell,480-538-2668,kterrell@ktc-inc.com,Kevin Terrell,480-538-2668,kterrell@ktc-inc.com,,,√,
"Loch Harbour Group, Inc.",GS00Q14OADS124,9757188,Haydn Hislop,703-642-2380,OASISSB@lochharbour.com,William A Davis,703-642-2380,OASISSB@lochharbour.com,,,√,
"Management Solutions, Inc., dba  MSI Universal",GS00Q14OADS125,136581670,Monika Deja,301-728-2988,OASIS@msiuniversal.com,Pavitr Juneja,732-614-4455,OASIS@msiuniversal.com,√,,,
"McManis Associates Inc., dba McManis & Monslave Associates",GS00Q14OADS126,72637457,Bill Carney,814-454-4000,OASIS@mcmanis-monsalve.com,Darryl Lawton,814-454-4000,OASIS@mcmanis-monsalve.com,,√,,
"Micro Systems Consultants, dba MicroSystems Automation Group",GS00Q14OADS127,608740957,Dave Scali,617-680-2368,dscali@msag.net,Luigi Valentini,703-538-0807 x 107,lvalentini@msag.net,,,√,
"Miracle Systems, LLC",GS00Q14OADS128,133239397,Sandesh Sharda,571-331-1355,ssharda@miraclesystems.net,David Stack,937-673-6754,dstack@miraclesystems.net,√,,,
"Mosaic Technologies Group, Inc.",GS00Q14OADS129,182935002,LaTonia Gilkey,240-459-1335,contracts@mosaicsgroup.com,Michael T. Grier,240-459-1321,mgrier@mosaicsgroup.com,√,,,
NikSoft Systems Corporation,GS00Q14OADS130,71215037,Adesh Jain,703-435-2260 x 206,OASIS@niksoft.com,Manesh Gupta,703-435-2260 ,OASIS@niksoft.com,√,,,
"OBXtek, Inc.",GS00Q14OADS131,830341645,Jasmine Feeney,571-395-4542,OASIS@obxtek.com,Tim Pleus,571-395-4540,OASIS@obxtek.com,,,√,
"Panum Telecom, LLC, dba Panum Group, LLC",GS00Q14OADS132,17433348,Daniel (Bill) Hinkle,703-731-2240,OASIS@panum.com,Patricia Palmer,240-294-6484,OASIS@panum.com,√,,,√
"PotomacWave Consulting, Inc.",GS00Q14OADS134,809019180,Jennifer Harris,703-963-5064,OASIS@potomacwave.com,Emma Sopko,703-623-5144,OASIS@potomacwave.com,,,,√
"QuantiTech, Inc.",GS00Q14OADS135,618564116,Teresa Roberson,256-799-0669,OASISSB@quantitech.com,Darryl Wortman,256-799-0654,OASISSB@quantitech.com,,,,√
"Resource Management Concepts, Inc., dba RMC",GS00Q14OADS136,807512934,Matthew Vodzak,301-862-7501,mvodzak@rmcweb.com,Kevin Cooley,301-862-7501,kcooley@rmcweb.com,,,,
"Sawdey Solution Services, Inc.",GS00Q14OADS138,20345075,Connie Sawdey,937-490-4060,OASIS@sawdeysolutionservices.com,Beth Czanik,937-490-4060,OASIS@sawdeysolutionservices.com,,,√,√
Sev1tech Inc.,GS00Q14OADS137,962121286,Chris Hall,703-229-2143,OASISPOOL1@sev1tech.com,Brian McIntyre,571-409-4167,OASISPOOL1@sev1tech.com,,,,
"Solutions Through Innovative Technologies, Inc., dba STI Technologies",GS00Q14OADS139,3592412,"Charles A. Colon,  III",937-431-0000,OASISSB@sti-tec.com,"Charles A. Colon,  III",937-431-0000,OASISSB@sti-tec.com,√,,,
"Synectic Solutions, Inc., dba SSI",GS00Q14OADS141,15958325,Earnie Leonard, 805-483-4800 x 101,OASISSB@synecticsolutions.com,Lynn M. Dines,805-483-4800 x 121,ldines@synecsolu.com,,,,√
